Datum,Tid (UTC),Snödjup,Kvalitet,Markens tillstånd,Kvalitet.1,Unnamed: 6,Tidsutsnitt:,gps_z
2021-11-01,06:00:00,0.38,G,17.0,G,,,5886425.981963699
2021-11-02,06:00:00,0.3,G,17.0,G,,,5886425.985931459
2021-11-03,06:00:00,0.19,G,17.0,G,,,5886425.984148024
2021-11-04,06:00:00,0.2,G,17.0,G,,,5886425.983101973
2021-11-05,06:00:00,0.2,G,17.0,G,,,5886425.981981194
2021-11-06,06:00:00,0.2,G,17.0,G,,,5886425.983516642
2021-11-07,06:00:00,0.2,G,17.0,G,,,5886425.981925284
2021-11-08,06:00:00,0.2,G,17.0,G,,,5886425.983574679
2021-11-09,06:00:00,0.2,G,17.0,G,,,5886425.979779027
2021-11-10,06:00:00,0.2,G,17.0,G,,,5886425.97951792
2021-11-11,06:00:00,0.23,G,17.0,G,,,5886425.982230673
2021-11-12,06:00:00,0.25,G,17.0,G,,,5886425.977727562
2021-11-13,06:00:00,0.25,G,17.0,G,,,5886425.977994548
2021-11-14,06:00:00,0.25,G,17.0,G,,,5886425.976101832
2021-11-15,06:00:00,0.32,G,17.0,G,,,5886425.975308424
2021-11-16,06:00:00,0.32,G,17.0,G,,,5886425.977791677
2021-11-17,06:00:00,0.32,G,17.0,G,,,5886425.984678312
2021-11-18,06:00:00,0.32,G,17.0,G,,,5886425.982185571
2021-11-19,06:00:00,0.32,G,17.0,G,,,5886425.99398609
2021-11-20,06:00:00,0.32,G,17.0,G,,,5886425.993084199
2021-11-21,06:00:00,0.32,G,17.0,G,,,5886425.985988973
2021-11-22,06:00:00,0.33,G,17.0,G,,,5886425.982824466
2021-11-23,06:00:00,0.33,G,17.0,G,,,5886425.983548353
2021-11-24,06:00:00,0.33,G,17.0,G,,,5886425.988169048
2021-11-25,06:00:00,0.33,G,17.0,G,,,5886425.988493679
2021-11-26,06:00:00,0.34,G,17.0,G,,,5886425.987654872
2021-11-27,06:00:00,0.36,G,17.0,G,,,5886425.988096274
2021-11-28,06:00:00,0.38,G,17.0,G,,,5886425.986643568
2021-11-29,06:00:00,0.38,G,17.0,G,,,5886425.989355425
2021-11-30,06:00:00,0.38,G,17.0,G,,,5886425.943491591
2021-12-01,06:00:00,0.4,G,17.0,G,,,5886426.026552097
2021-12-02,06:00:00,0.45,G,17.0,G,,,5886425.9911068
2021-12-03,06:00:00,0.44,G,17.0,G,,,5886425.986959749
2021-12-04,06:00:00,0.44,G,17.0,G,,,5886425.983959356
2021-12-05,06:00:00,0.45,G,17.0,G,,,5886425.981690616
2021-12-06,06:00:00,0.41,G,17.0,G,,,5886425.979936972
2021-12-07,06:00:00,0.4,G,17.0,G,,,5886425.981650999
2021-12-08,06:00:00,0.4,G,17.0,G,,,5886425.980856838
2021-12-09,06:00:00,0.4,G,17.0,G,,,5886425.982508912
2021-12-10,06:00:00,0.41,G,17.0,G,,,5886425.981356931
2021-12-11,06:00:00,0.41,G,17.0,G,,,5886425.983870719
2021-12-12,06:00:00,0.45,G,17.0,G,,,5886425.978587802
2021-12-13,06:00:00,0.45,G,17.0,G,,,5886425.978295967
2021-12-14,06:00:00,0.47,G,17.0,G,,,5886425.97869513
2021-12-15,06:00:00,0.48,G,17.0,G,,,5886425.97695773
2021-12-16,06:00:00,0.47,G,17.0,G,,,5886425.978454489
2021-12-17,06:00:00,0.47,G,17.0,G,,,5886425.980229585
2021-12-18,06:00:00,0.47,G,17.0,G,,,5886425.985590772
2021-12-19,06:00:00,0.47,G,17.0,G,,,5886425.981666455
2021-12-20,06:00:00,0.47,G,17.0,G,,,5886425.978158126
2021-12-21,06:00:00,0.47,G,17.0,G,,,5886425.980499462
2021-12-22,06:00:00,0.47,G,17.0,G,,,5886425.979704563
2021-12-23,06:00:00,0.47,G,17.0,G,,,5886425.985823499
2021-12-24,06:00:00,0.47,G,17.0,G,,,5886425.990047745
2021-12-25,06:00:00,0.47,G,17.0,G,,,5886425.986332182
2021-12-26,06:00:00,0.47,G,17.0,G,,,5886425.986361269
2021-12-27,06:00:00,0.47,G,17.0,G,,,5886425.983960519
2021-12-28,06:00:00,0.47,G,17.0,G,,,5886425.979077633
2021-12-29,06:00:00,0.47,G,17.0,G,,,5886425.98073685
2021-12-30,06:00:00,0.47,G,17.0,G,,,5886425.983778227
2021-12-31,06:00:00,0.48,G,17.0,G,,,5886425.984562526
2022-01-01,06:00:00,0.48,G,17.0,G,,,5886425.981073911
2022-01-02,06:00:00,0.48,G,17.0,G,,,5886425.981024762
2022-01-03,06:00:00,0.67,G,17.0,G,,,5886425.986690567
2022-01-04,06:00:00,0.8,G,17.0,G,,,5886425.989421324
2022-01-05,06:00:00,0.8,G,17.0,G,,,5886425.985391613
2022-01-06,06:00:00,0.8,G,17.0,G,,,5886425.986882827
2022-01-07,06:00:00,0.8,G,17.0,G,,,5886425.982737786
2022-01-08,06:00:00,0.8,G,17.0,G,,,5886425.98338766
2022-01-09,06:00:00,0.8,G,17.0,G,,,5886425.982511383
2022-01-10,06:00:00,0.8,G,17.0,G,,,5886425.979026377
2022-01-11,06:00:00,0.65,G,17.0,G,,,5886425.981142461
2022-01-12,06:00:00,0.62,G,17.0,G,,,5886425.982116546
2022-01-13,06:00:00,0.6,G,17.0,G,,,5886425.99065593
2022-01-14,06:00:00,0.6,G,17.0,G,,,5886425.989879678
2022-01-15,06:00:00,0.6,G,17.0,G,,,5886425.978327191
2022-01-16,06:00:00,0.6,G,17.0,G,,,5886425.987743883
2022-01-17,06:00:00,0.63,G,17.0,G,,,5886425.98892243
2022-01-18,06:00:00,0.63,G,17.0,G,,,5886425.987527451
2022-01-19,06:00:00,0.6,G,17.0,G,,,5886425.980509792
2022-01-20,06:00:00,0.57,G,17.0,G,,,5886425.982129108
2022-01-21,06:00:00,0.57,G,17.0,G,,,5886425.98153636
2022-01-22,06:00:00,0.57,G,17.0,G,,,5886425.979468382
2022-01-23,06:00:00,0.59,G,17.0,G,,,5886425.978178881
2022-01-24,06:00:00,0.57,G,17.0,G,,,5886425.986050686
2022-01-25,06:00:00,0.57,G,17.0,G,,,5886425.985083253
2022-01-26,06:00:00,0.56,G,17.0,G,,,5886425.98639435
2022-01-27,06:00:00,0.56,G,17.0,G,,,5886425.988173579
2022-01-28,06:00:00,0.56,G,17.0,G,,,5886425.986584421
2022-01-29,06:00:00,0.56,G,17.0,G,,,5886425.989830229
2022-01-30,06:00:00,0.57,G,17.0,G,,,5886425.98394396
2022-01-31,06:00:00,0.57,G,17.0,G,,,5886425.97861716
2022-02-01,06:00:00,0.57,G,17.0,G,,,5886425.985112689
2022-02-02,06:00:00,0.58,G,17.0,G,,,5886425.983796225
2022-02-03,06:00:00,0.59,G,17.0,G,,,5886425.982945924
2022-02-04,06:00:00,0.61,G,17.0,G,,,5886425.982799697
2022-02-05,06:00:00,0.75,G,17.0,G,,,5886425.988151115
2022-02-06,06:00:00,0.75,G,17.0,G,,,5886425.988774982
2022-02-07,06:00:00,0.77,G,17.0,G,,,5886425.980686514
2022-02-08,06:00:00,0.77,G,17.0,G,,,5886425.981881287
2022-02-09,06:00:00,0.77,G,17.0,G,,,5886425.989847431
2022-02-10,06:00:00,0.75,G,17.0,G,,,5886425.986757567
2022-02-11,06:00:00,0.75,G,17.0,G,,,5886425.986309708
2022-02-12,06:00:00,0.75,G,17.0,G,,,5886425.98582186
2022-02-13,06:00:00,0.75,G,17.0,G,,,5886425.98357367
2022-02-14,06:00:00,0.77,G,17.0,G,,,5886425.982460291
2022-02-15,06:00:00,0.77,G,17.0,G,,,5886425.982615876
2022-02-16,06:00:00,0.77,G,17.0,G,,,5886425.986962081
2022-02-17,06:00:00,0.79,G,17.0,G,,,5886425.993346179
2022-02-18,06:00:00,0.82,G,17.0,G,,,5886425.996517482
2022-02-19,06:00:00,0.85,G,17.0,G,,,5886425.993240731
2022-02-20,06:00:00,0.85,G,17.0,G,,,5886425.990396983
2022-02-21,06:00:00,0.85,G,17.0,G,,,5886425.989386064
2022-02-22,06:00:00,0.85,G,17.0,G,,,5886425.988251892
