Navn;Stasjon;Tid(norsk normaltid);Snødybde, cm
Tromsø;SN90450;01.11.2022;0
Tromsø;SN90450;02.11.2022;0
Tromsø;SN90450;03.11.2022;0
Tromsø;SN90450;04.11.2022;0
Tromsø;SN90450;05.11.2022;0
Tromsø;SN90450;06.11.2022;0
Tromsø;SN90450;07.11.2022;0
Tromsø;SN90450;08.11.2022;0
Tromsø;SN90450;09.11.2022;0
Tromsø;SN90450;10.11.2022;0
Tromsø;SN90450;11.11.2022;0
Tromsø;SN90450;12.11.2022;0
Tromsø;SN90450;13.11.2022;0
Tromsø;SN90450;14.11.2022;0
Tromsø;SN90450;15.11.2022;0
Tromsø;SN90450;16.11.2022;0
Tromsø;SN90450;17.11.2022;0
Tromsø;SN90450;18.11.2022;0
Tromsø;SN90450;19.11.2022;0
Tromsø;SN90450;20.11.2022;0
Tromsø;SN90450;21.11.2022;0
Tromsø;SN90450;22.11.2022;0
Tromsø;SN90450;23.11.2022;0
Tromsø;SN90450;24.11.2022;0
Tromsø;SN90450;25.11.2022;1
Tromsø;SN90450;26.11.2022;1
Tromsø;SN90450;27.11.2022;1
Tromsø;SN90450;28.11.2022;0
Tromsø;SN90450;29.11.2022;1
Tromsø;SN90450;30.11.2022;0
Tromsø;SN90450;01.12.2022;1
Tromsø;SN90450;02.12.2022;1
Tromsø;SN90450;03.12.2022;1
Tromsø;SN90450;04.12.2022;1
Tromsø;SN90450;05.12.2022;6
Tromsø;SN90450;06.12.2022;2
Tromsø;SN90450;07.12.2022;12
Tromsø;SN90450;08.12.2022;10
Tromsø;SN90450;09.12.2022;9
Tromsø;SN90450;10.12.2022;9
Tromsø;SN90450;11.12.2022;9
Tromsø;SN90450;12.12.2022;9
Tromsø;SN90450;13.12.2022;9
Tromsø;SN90450;14.12.2022;9
Tromsø;SN90450;15.12.2022;19
Tromsø;SN90450;16.12.2022;27
Tromsø;SN90450;17.12.2022;32
Tromsø;SN90450;18.12.2022;30
Tromsø;SN90450;19.12.2022;27
Tromsø;SN90450;20.12.2022;27
Tromsø;SN90450;21.12.2022;26
Tromsø;SN90450;22.12.2022;25
Tromsø;SN90450;23.12.2022;32
Tromsø;SN90450;24.12.2022;65
Tromsø;SN90450;25.12.2022;60
Tromsø;SN90450;26.12.2022;60
Tromsø;SN90450;27.12.2022;55
Tromsø;SN90450;28.12.2022;52
Tromsø;SN90450;29.12.2022;52
Tromsø;SN90450;30.12.2022;50
Tromsø;SN90450;31.12.2022;48
Tromsø;SN90450;01.01.2023;53
Tromsø;SN90450;02.01.2023;54
Tromsø;SN90450;03.01.2023;57
Tromsø;SN90450;04.01.2023;55
Tromsø;SN90450;05.01.2023;53
Tromsø;SN90450;06.01.2023;52
Tromsø;SN90450;07.01.2023;52
Tromsø;SN90450;08.01.2023;50
Tromsø;SN90450;09.01.2023;51
Tromsø;SN90450;10.01.2023;50
Tromsø;SN90450;11.01.2023;49
Tromsø;SN90450;12.01.2023;49
Tromsø;SN90450;13.01.2023;52
Tromsø;SN90450;14.01.2023;57
Tromsø;SN90450;15.01.2023;56
Tromsø;SN90450;16.01.2023;54
Tromsø;SN90450;17.01.2023;56
Tromsø;SN90450;18.01.2023;56
Tromsø;SN90450;19.01.2023;55
Tromsø;SN90450;20.01.2023;55
Tromsø;SN90450;21.01.2023;58
Tromsø;SN90450;22.01.2023;51
Tromsø;SN90450;23.01.2023;43
Tromsø;SN90450;24.01.2023;54
Tromsø;SN90450;25.01.2023;59
Tromsø;SN90450;26.01.2023;73
Tromsø;SN90450;27.01.2023;81
Tromsø;SN90450;28.01.2023;66
Tromsø;SN90450;29.01.2023;75
Tromsø;SN90450;30.01.2023;74
Tromsø;SN90450;31.01.2023;73
Tromsø;SN90450;01.02.2023;79
Tromsø;SN90450;02.02.2023;77
Tromsø;SN90450;03.02.2023;75
Tromsø;SN90450;04.02.2023;78
Tromsø;SN90450;05.02.2023;79
Tromsø;SN90450;06.02.2023;75
Tromsø;SN90450;07.02.2023;58
Tromsø;SN90450;08.02.2023;55
Tromsø;SN90450;09.02.2023;58
Tromsø;SN90450;10.02.2023;62
Tromsø;SN90450;11.02.2023;74
Tromsø;SN90450;12.02.2023;80
Tromsø;SN90450;13.02.2023;72
Tromsø;SN90450;14.02.2023;71
Tromsø;SN90450;15.02.2023;59
Tromsø;SN90450;16.02.2023;57
Tromsø;SN90450;17.02.2023;55
Tromsø;SN90450;18.02.2023;55
Tromsø;SN90450;19.02.2023;55
Tromsø;SN90450;20.02.2023;59
Tromsø;SN90450;21.02.2023;59
Tromsø;SN90450;22.02.2023;59
Tromsø;SN90450;23.02.2023;59
Tromsø;SN90450;24.02.2023;74
Tromsø;SN90450;25.02.2023;93
Tromsø;SN90450;26.02.2023;90
Tromsø;SN90450;27.02.2023;77
Tromsø;SN90450;28.02.2023;77
Tromsø;SN90450;01.03.2023;83
Tromsø;SN90450;02.03.2023;97
Tromsø;SN90450;03.03.2023;111
Tromsø;SN90450;04.03.2023;108
Tromsø;SN90450;05.03.2023;115
Tromsø;SN90450;06.03.2023;129
Tromsø;SN90450;07.03.2023;123
Tromsø;SN90450;08.03.2023;117
Tromsø;SN90450;09.03.2023;131
Tromsø;SN90450;10.03.2023;132
Tromsø;SN90450;11.03.2023;131
Tromsø;SN90450;12.03.2023;133
Tromsø;SN90450;13.03.2023;132
Tromsø;SN90450;14.03.2023;128
Tromsø;SN90450;15.03.2023;125
Tromsø;SN90450;16.03.2023;131
Tromsø;SN90450;17.03.2023;136
Tromsø;SN90450;18.03.2023;131
Tromsø;SN90450;19.03.2023;128
Tromsø;SN90450;20.03.2023;127
Tromsø;SN90450;21.03.2023;126
Tromsø;SN90450;22.03.2023;140
Tromsø;SN90450;23.03.2023;136
Tromsø;SN90450;24.03.2023;131
Tromsø;SN90450;25.03.2023;133
Tromsø;SN90450;26.03.2023;131
Tromsø;SN90450;27.03.2023;129
Tromsø;SN90450;28.03.2023;127
Tromsø;SN90450;29.03.2023;126
Tromsø;SN90450;30.03.2023;129
Tromsø;SN90450;31.03.2023;134
Tromsø;SN90450;01.04.2023;136
Tromsø;SN90450;02.04.2023;133
Tromsø;SN90450;03.04.2023;131
Tromsø;SN90450;04.04.2023;127
Tromsø;SN90450;05.04.2023;123
Tromsø;SN90450;06.04.2023;119
Tromsø;SN90450;07.04.2023;114
Tromsø;SN90450;08.04.2023;112
Tromsø;SN90450;09.04.2023;108
Tromsø;SN90450;10.04.2023;105
Tromsø;SN90450;11.04.2023;105
Tromsø;SN90450;12.04.2023;102
Tromsø;SN90450;13.04.2023;100
Tromsø;SN90450;14.04.2023;97
Tromsø;SN90450;15.04.2023;96
Tromsø;SN90450;16.04.2023;95
Tromsø;SN90450;17.04.2023;92
Tromsø;SN90450;18.04.2023;90
Tromsø;SN90450;19.04.2023;83
Tromsø;SN90450;20.04.2023;79
Tromsø;SN90450;21.04.2023;75
Tromsø;SN90450;22.04.2023;90
Tromsø;SN90450;23.04.2023;96
Tromsø;SN90450;24.04.2023;91
Tromsø;SN90450;25.04.2023;88
Tromsø;SN90450;26.04.2023;86
Tromsø;SN90450;27.04.2023;82
Tromsø;SN90450;28.04.2023;79
Tromsø;SN90450;29.04.2023;74
Tromsø;SN90450;30.04.2023;73
Tromsø;SN90450;01.05.2023;71
Tromsø;SN90450;02.05.2023;73
Tromsø;SN90450;03.05.2023;73
Tromsø;SN90450;04.05.2023;73
Tromsø;SN90450;05.05.2023;81
Tromsø;SN90450;06.05.2023;71
Tromsø;SN90450;07.05.2023;67
Tromsø;SN90450;08.05.2023;61
Tromsø;SN90450;09.05.2023;51
Tromsø;SN90450;10.05.2023;45
Tromsø;SN90450;11.05.2023;36
Tromsø;SN90450;12.05.2023;27
Tromsø;SN90450;13.05.2023;18
Tromsø;SN90450;14.05.2023;8
Tromsø;SN90450;15.05.2023;1
Tromsø;SN90450;16.05.2023;0
Tromsø;SN90450;17.05.2023;0
Tromsø;SN90450;18.05.2023;0
Tromsø;SN90450;19.05.2023;0
Tromsø;SN90450;20.05.2023;0
Tromsø;SN90450;21.05.2023;0
Tromsø;SN90450;22.05.2023;0
Tromsø;SN90450;23.05.2023;0
Tromsø;SN90450;24.05.2023;0
Tromsø;SN90450;25.05.2023;0
Tromsø;SN90450;26.05.2023;0
Tromsø;SN90450;27.05.2023;2
Tromsø;SN90450;28.05.2023;0
Tromsø;SN90450;29.05.2023;0
Tromsø;SN90450;30.05.2023;0
Tromsø;SN90450;31.05.2023;0
Tromsø;SN90450;01.06.2023;1
Tromsø;SN90450;02.06.2023;0
Tromsø;SN90450;03.06.2023;0
Tromsø;SN90450;04.06.2023;0
Tromsø;SN90450;05.06.2023;0
Tromsø;SN90450;06.06.2023;0
Tromsø;SN90450;07.06.2023;0
Tromsø;SN90450;08.06.2023;0
Tromsø;SN90450;09.06.2023;0
Tromsø;SN90450;27.09.2023;0
Tromsø;SN90450;28.09.2023;0
Tromsø;SN90450;29.09.2023;0
Tromsø;SN90450;30.09.2023;0
Tromsø;SN90450;01.10.2023;0
Tromsø;SN90450;02.10.2023;0
Tromsø;SN90450;03.10.2023;0
Tromsø;SN90450;04.10.2023;0
Tromsø;SN90450;05.10.2023;0
Tromsø;SN90450;06.10.2023;0
Tromsø;SN90450;07.10.2023;4
Tromsø;SN90450;08.10.2023;2
Tromsø;SN90450;09.10.2023;1
Tromsø;SN90450;10.10.2023;0
Tromsø;SN90450;11.10.2023;1
Tromsø;SN90450;12.10.2023;0
Tromsø;SN90450;13.10.2023;0
Tromsø;SN90450;14.10.2023;1
Tromsø;SN90450;15.10.2023;1
Tromsø;SN90450;16.10.2023;0
Tromsø;SN90450;17.10.2023;1
Tromsø;SN90450;18.10.2023;1
Tromsø;SN90450;19.10.2023;1
Tromsø;SN90450;20.10.2023;1
Tromsø;SN90450;21.10.2023;1
Tromsø;SN90450;22.10.2023;0
Tromsø;SN90450;23.10.2023;0
Tromsø;SN90450;24.10.2023;0
Tromsø;SN90450;25.10.2023;0
Tromsø;SN90450;26.10.2023;0
Tromsø;SN90450;27.10.2023;0
Tromsø;SN90450;28.10.2023;0
Tromsø;SN90450;29.10.2023;0
Tromsø;SN90450;30.10.2023;0
Tromsø;SN90450;31.10.2023;3
Tromsø;SN90450;01.11.2023;6
Tromsø;SN90450;02.11.2023;5
Tromsø;SN90450;03.11.2023;5
Tromsø;SN90450;04.11.2023;5
Tromsø;SN90450;05.11.2023;5
Tromsø;SN90450;06.11.2023;4
Tromsø;SN90450;07.11.2023;3
Tromsø;SN90450;08.11.2023;3
Tromsø;SN90450;09.11.2023;3
Tromsø;SN90450;10.11.2023;9
Tromsø;SN90450;11.11.2023;14
Tromsø;SN90450;12.11.2023;13
Tromsø;SN90450;13.11.2023;12
Tromsø;SN90450;14.11.2023;11
Tromsø;SN90450;15.11.2023;14
Tromsø;SN90450;16.11.2023;17
Tromsø;SN90450;17.11.2023;30
Tromsø;SN90450;18.11.2023;38
Tromsø;SN90450;19.11.2023;50
Tromsø;SN90450;20.11.2023;44
Tromsø;SN90450;21.11.2023;40
Tromsø;SN90450;22.11.2023;44
Tromsø;SN90450;23.11.2023;41
Tromsø;SN90450;24.11.2023;46
Tromsø;SN90450;25.11.2023;44
Tromsø;SN90450;26.11.2023;45
Tromsø;SN90450;27.11.2023;44
Tromsø;SN90450;28.11.2023;42
Tromsø;SN90450;29.11.2023;42
Tromsø;SN90450;30.11.2023;41
Tromsø;SN90450;01.12.2023;40
Tromsø;SN90450;02.12.2023;39
Tromsø;SN90450;03.12.2023;39
Tromsø;SN90450;04.12.2023;39
Tromsø;SN90450;05.12.2023;45
Tromsø;SN90450;06.12.2023;44
Tromsø;SN90450;07.12.2023;44
Tromsø;SN90450;08.12.2023;43
Tromsø;SN90450;09.12.2023;43
Tromsø;SN90450;10.12.2023;42
Tromsø;SN90450;11.12.2023;41
Tromsø;SN90450;12.12.2023;42
Tromsø;SN90450;13.12.2023;42
Tromsø;SN90450;14.12.2023;41
Tromsø;SN90450;15.12.2023;41
Tromsø;SN90450;16.12.2023;42
Tromsø;SN90450;17.12.2023;54
Tromsø;SN90450;18.12.2023;56
Tromsø;SN90450;19.12.2023;56
Tromsø;SN90450;20.12.2023;66
Tromsø;SN90450;21.12.2023;69
Tromsø;SN90450;22.12.2023;65
Tromsø;SN90450;23.12.2023;63
Tromsø;SN90450;24.12.2023;61
Tromsø;SN90450;25.12.2023;58
Tromsø;SN90450;26.12.2023;61
Tromsø;SN90450;27.12.2023;66
Tromsø;SN90450;28.12.2023;64
Tromsø;SN90450;29.12.2023;63
Tromsø;SN90450;30.12.2023;62
Tromsø;SN90450;31.12.2023;62
Tromsø;SN90450;01.01.2024;61
Tromsø;SN90450;02.01.2024;61
Tromsø;SN90450;03.01.2024;60
Tromsø;SN90450;04.01.2024;60
Tromsø;SN90450;05.01.2024;60
Tromsø;SN90450;06.01.2024;60
Tromsø;SN90450;07.01.2024;72
Tromsø;SN90450;08.01.2024;93
Tromsø;SN90450;09.01.2024;80
Tromsø;SN90450;10.01.2024;74
Tromsø;SN90450;11.01.2024;73
Tromsø;SN90450;12.01.2024;85
Tromsø;SN90450;13.01.2024;80
Tromsø;SN90450;14.01.2024;81
Tromsø;SN90450;15.01.2024;89
Tromsø;SN90450;16.01.2024;84
Tromsø;SN90450;17.01.2024;81
Tromsø;SN90450;18.01.2024;80
Tromsø;SN90450;19.01.2024;79
Tromsø;SN90450;20.01.2024;78
Tromsø;SN90450;21.01.2024;85
Tromsø;SN90450;22.01.2024;85
Tromsø;SN90450;23.01.2024;84
Tromsø;SN90450;24.01.2024;88
Tromsø;SN90450;25.01.2024;87
Tromsø;SN90450;26.01.2024;85
Tromsø;SN90450;27.01.2024;91
Tromsø;SN90450;28.01.2024;89
Tromsø;SN90450;29.01.2024;79
Tromsø;SN90450;30.01.2024;82
Tromsø;SN90450;31.01.2024;76
Tromsø;SN90450;01.02.2024;75
Tromsø;SN90450;02.02.2024;89
Tromsø;SN90450;03.02.2024;88
Tromsø;SN90450;04.02.2024;95
Tromsø;SN90450;05.02.2024;93
Tromsø;SN90450;06.02.2024;91
Tromsø;SN90450;07.02.2024;94
Tromsø;SN90450;08.02.2024;91
Tromsø;SN90450;09.02.2024;90
Tromsø;SN90450;10.02.2024;89
Tromsø;SN90450;11.02.2024;88
Tromsø;SN90450;12.02.2024;90
Tromsø;SN90450;13.02.2024;89
Tromsø;SN90450;14.02.2024;86
Tromsø;SN90450;15.02.2024;85
Tromsø;SN90450;16.02.2024;85
Tromsø;SN90450;17.02.2024;90
Tromsø;SN90450;18.02.2024;106
Tromsø;SN90450;19.02.2024;116
Tromsø;SN90450;20.02.2024;127
Tromsø;SN90450;21.02.2024;119
Tromsø;SN90450;22.02.2024;119
Tromsø;SN90450;23.02.2024;116
Tromsø;SN90450;24.02.2024;113
Tromsø;SN90450;25.02.2024;100
Tromsø;SN90450;26.02.2024;98
Tromsø;SN90450;27.02.2024;98
Tromsø;SN90450;28.02.2024;96
Tromsø;SN90450;29.02.2024;96
Tromsø;SN90450;01.03.2024;93
Tromsø;SN90450;02.03.2024;90
Tromsø;SN90450;03.03.2024;89
Tromsø;SN90450;04.03.2024;87
Tromsø;SN90450;05.03.2024;87
Tromsø;SN90450;06.03.2024;87
Tromsø;SN90450;07.03.2024;87
Tromsø;SN90450;08.03.2024;86
Tromsø;SN90450;09.03.2024;87
Tromsø;SN90450;10.03.2024;85
Tromsø;SN90450;11.03.2024;84
Tromsø;SN90450;12.03.2024;83
Tromsø;SN90450;13.03.2024;84
Tromsø;SN90450;14.03.2024;83
Tromsø;SN90450;15.03.2024;86
Tromsø;SN90450;16.03.2024;93
Tromsø;SN90450;17.03.2024;101
Tromsø;SN90450;18.03.2024;103
Tromsø;SN90450;19.03.2024;94
Tromsø;SN90450;20.03.2024;89
Tromsø;SN90450;21.03.2024;86
Tromsø;SN90450;22.03.2024;85
Tromsø;SN90450;23.03.2024;85
Tromsø;SN90450;24.03.2024;88
Tromsø;SN90450;25.03.2024;91
Tromsø;SN90450;26.03.2024;89
Tromsø;SN90450;27.03.2024;88
Tromsø;SN90450;28.03.2024;88
Tromsø;SN90450;29.03.2024;87
Tromsø;SN90450;30.03.2024;87
Tromsø;SN90450;31.03.2024;87
Tromsø;SN90450;01.04.2024;87
Tromsø;SN90450;02.04.2024;88
Tromsø;SN90450;03.04.2024;97
Tromsø;SN90450;04.04.2024;95
Tromsø;SN90450;05.04.2024;93
Tromsø;SN90450;06.04.2024;92
Tromsø;SN90450;07.04.2024;91
Tromsø;SN90450;08.04.2024;92
Tromsø;SN90450;09.04.2024;91
Tromsø;SN90450;10.04.2024;87
Tromsø;SN90450;11.04.2024;83
Tromsø;SN90450;12.04.2024;82
Tromsø;SN90450;13.04.2024;77
Tromsø;SN90450;14.04.2024;73
Tromsø;SN90450;15.04.2024;73
Tromsø;SN90450;16.04.2024;74
Tromsø;SN90450;17.04.2024;72
Tromsø;SN90450;18.04.2024;72
Tromsø;SN90450;19.04.2024;71
Tromsø;SN90450;20.04.2024;70
Tromsø;SN90450;21.04.2024;69
Tromsø;SN90450;22.04.2024;68
Tromsø;SN90450;23.04.2024;67
Tromsø;SN90450;24.04.2024;70
Tromsø;SN90450;25.04.2024;64
Tromsø;SN90450;26.04.2024;61
Tromsø;SN90450;27.04.2024;58
Tromsø;SN90450;28.04.2024;55
Tromsø;SN90450;29.04.2024;50
Tromsø;SN90450;30.04.2024;46
Tromsø;SN90450;01.05.2024;37
Tromsø;SN90450;02.05.2024;33
Tromsø;SN90450;03.05.2024;28
Tromsø;SN90450;04.05.2024;23
Tromsø;SN90450;05.05.2024;21
Tromsø;SN90450;06.05.2024;20
Tromsø;SN90450;07.05.2024;19
Tromsø;SN90450;08.05.2024;14
Tromsø;SN90450;09.05.2024;7
Tromsø;SN90450;10.05.2024;0
Tromsø;SN90450;11.05.2024;0
Tromsø;SN90450;12.05.2024;0
Tromsø;SN90450;13.05.2024;0
Tromsø;SN90450;14.05.2024;0
Tromsø;SN90450;15.05.2024;0
Tromsø;SN90450;16.05.2024;0
Tromsø;SN90450;17.05.2024;0
Tromsø;SN90450;18.05.2024;0
Tromsø;SN90450;19.05.2024;0
Tromsø;SN90450;20.05.2024;3
